,Unnamed: 0,comment
187,187,Rk tidak cocok ditempat di jakarta tapi cocok u mentri
188,188,"Untuk apa menang kalau tidak bermanfaat kepemimpinan seseorang yang ambisius, hari gini masih berada dalam keributan ambisi pribadi dan golongan, rakyatnya kebagian apa, cuma diberi kewajiban sementara haknya diabaikan 😢😢😢"
189,189,Berati kemenangan pram afa campur tgn Jokowi
190,190,"Kapan selesainya dan mulai menata negara maju, jangan cuma ngurusin jabatan dan periodenya, lebih baik melakukan hal yang manfaat untuk kemakmuran bangsa dan negara, rakyat sejahtera yang berkeadilan siapapun pemimpinnya pasti dicintai rakyatnya dengan tulus"
191,191,TERBUKTI KATA KATA PAK ANIES DIIKUTI RAKYAT
192,192,"Kasian RK tenggelam di Jakarta, semuanya gara2 masuk Golkar"
193,193,"Cuek banget, walaupun ngak di cintai"
194,194,"banteng kalah lgi bos di kandangnya awokkkkk😅😅😅  membenci orang yg salah, hidup jokowii 🎉🎉🎉🎉🎉"
195,195,"Hikmah dr semua ini,pak Jokowi presiden pemersatu partai' tertua dan pecahannya yg berjiwa nasionalisme dan patriotisme tuk NKRI tercinta mewujudkan cita-cita pjuang kemerdekaan dan nasional dr jiwa pemuda 1928 , bagaimanapun pak Sukarno dan pak Suharto presiden Indonesia terpilih,🙏👍💪"
196,196,Semoga host2 bocor alus bisa netral membahas politik Indonesia
197,197,Jujur kecewa sama keputusan pa prabowo yg di jawa tengah😢 jd sekarang mulai gamau percaya sama pejabat manapun termasuk presiden
198,198,emang salah satu utk menampilkan anis ya membenturkan dgn jokowi padahal tujuannya ya ingin meminjam nama jokowi kak kak kak.  klu tdk.. siaoa yg mau baca dan dengar berita anis.. kaaaaak kak kak
199,199,yg terbaik ttp jokowi. dan jarak antara jokowi dan anis itu ibarat tape dan awan.
200,200,Jokowi cawe cawe engga ngaruh..dah.
201,201,Kita pendukung Ahok tunggal
202,202,"Kenapa belok kanan ggk kasih lampu sign, karena mulyono kurang adab"
203,203,Saya dukung pa prabowo tapi ga mau dukung RK 🙏🏻
204,204,Faktor uang g pernah disebut...rakyat jkt pintar pintar berati
205,205,Tempopintardapatimformasinya akuratdebesttttempo👍👍👍
206,206,Bukan hanya mantan Presiden tetapi Prabowo juga sama saja. DNAnya.sama.
207,207,Mulyono.takutsamaanis
208,208,hanya Anies yang bisa melawan ambisinya Mulyono
209,209,"P.anis dan p.tom lembong klo jd di sandingkn 2029,kombo bgt sih."
210,210,"Jokowi ke jkt ambil sisa bajunya di bogor bro,santai aj😂"
211,211,Para BARISAN SAKIT HATI
212,212,mulyono adalah maut.
213,213,"Gue ada proposal taun baruan ada yg mo bantu gak ya..??? 
Wkwkwkwk...😂😂😂😂😂😂"
214,214,Politik uang
215,215,Omon omon semua  yg jelas rakyat cuma jd korban
216,216,"Begitu jahat dan busuk hati jokowi ini,orang sebaik Pak ANIIES dimusuin terus ,padahal klau ingat masa sebelum jokowi jadi presiden pak ANIES salah satu yg mrnjadi TIM SUKSESNYA"
217,217,Pramono anum 2029 ks kesempatan anis apa PDI.P BS D PERCAYA MEGAWATI AJA SUKA PENGHIANAT ANIS MAKAANYA  KARMA PDIP D KHIANATI JOKOWI.PAK ANIS dn ANK ABAH HRS WASPADA
218,218,Pasti Sakit hati ni kalau mendengar hasil pilkada sementara...😂😂😂😂
219,219,"Siapapun yg terpilih di DKI Mulyono sebenarnya akan senang, karena kartu mati mereka sudah di pegang Mulyono jadi tinggal baku atur saja nanti.

Tujuannya supaya tidak bakal ada kotak kosong, pemilih anies harus dipaksa memilih...

Dengan hasil pilkada saat ini sebenarnya membuktikan khusus nya DKI.. gabungan partai besar KIM plus dan aspek Jokowi sebenarnya kalah telak dengan seorang karisma Anies Baswedan.

Ini juga membuktikan masyarakat intelektual berbuat berdasarkan Nuraini,

kekuasaan tetap menjadi pemenangnya  karena mereka yg punya banyak resource dgn segala cara bansos, intimidasi dll, jika ini jadi lanjut 2 putaran bisa saja berubah,
Tapi lihat apakah deal dealnya sesuai maka tidak perlu 2 putaran"
220,220,Lebih tepat analisis jokowi di sebelah disini masih banyak salahnya jadi masih percaya?
221,221,"hehheehe tempo sekarang corongnya abud mania ya. masih sakit hati nih proposal gak nembus. sudah lah, biarkan orang pensiun nikmati masa tua dengan anak2 nya yg sukses wkwkwkwk. btw buat proposal ke om wowo ya tapi hina trus dong pemerintah sekarang biar ada dampak pemolesan biar kinclong"
222,222,Anis itu sapa🤣🤣🤣
223,223,Hm
224,224,"Yang menang akhirnya jokowi dan Gerinda nya prabowo,jawa dan sumut di kuasai hanya dki yg dilepas 😂"
225,225,Pemilih jateng sungguh why😂
226,226,Jakarta berhasil adanya Pak Anis Baswedan
227,227,Presiden masih tetap bisa di setir sama mantan presiden😂😂😂😂😂
228,228,Tempo ini media nya PDIP ya
229,229,"Tempo satu-satunya media yang tidak di kooptasi kekuasaan, saya bantu tempo dengan membeli produknya supaya terus eksis dengan sikap kritisnya."
230,230,Sepertinya jakarta SDMnya sudah naik
231,231,Masya Allah Pak Anies Baswedan
232,232,Jokowi itu sangat keterlaluan satu dari mantan presiden yg ngak negarawan.. Rakyat yg cerdas kecewa dengan cara cawe-Cawe... Dan penuh kecurangan.. Penghianat yg sudah menghianati rakyat via konstitusi.
233,233,"Pram Rano adalah sosok yg berat untuk kalian lawan 
Mereka berdua punya rekam jejak kinclong ...intinya rakyat pasti Milih sosok bukan milih partai.."
234,234,"Yg masih pilih dinasti,pe'a?srrakah banget nih jawa masih aja pengen ikut2an...hadeuh...!"
235,235,JOKOWI AVATAR INDONESIA 🇮🇩.  TERBUKTI MENANG DI PILKADA YANG DI DUKUNG JOKOWI. PASTI ADA YANG MALU DGN KOMENTAR2 INI
236,236,"LUAR BIASA  POWER  PRESIDEN RI.
.BP PRABOWO
,BP JOKOWI"
237,237,wajar tempo gitu lho😅
238,238,Tempo media adu domba dri dulu
239,239,"Abahhhhh. . Bingung mau cari panggung dimana ?
Main lokal selalu di atas gapapa kalo nasional sulitttt"
240,240,Politik yg beginilah  yg merusak angaran ujung2 nya rakyat yg di susah kan dan rak ya kecil tidak sadar akan hal ini..
